Method,alpha,City 1 Accuracy,City 1 Precision,City 1 Recall,City 1 $F_{0.5}$,City 2 Accuracy,City 2 Precision,City 2 Recall,City 2 $F_{0.5}$,City 3 Accuracy,City 3 Precision,City 3 Recall,City 3 $F_{0.5}$
TSLE_L0,0.15,86.73%,75.37%,49.56%,68.26%,84.65%,69.84%,36.88%,59.25%,84.38%,62.41%,33.32%,53.13%
,,(0.0072),(0.0223),(0.0146),(0.0201),(0.0069),(0.0188),(0.0100),(0.0160),(0.0039),(0.0102),(0.0054),(0.0087)
,0.20,81.50%,76.15%,50.11%,68.98%,78.86%,69.96%,36.98%,59.37%,78.66%,64.19%,34.28%,54.65%
,,(0.0093),(0.0191),(0.0128),(0.0174),(0.0074),(0.0174),(0.0091),(0.0147),(0.0044),(0.0098),(0.0052),(0.0083)
,0.30,70.55%,78.41%,51.64%,71.04%,67.08%,71.09%,37.59%,60.34%,67.12%,67.48%,36.05%,57.46%
,,(0.0130),(0.0149),(0.0099),(0.0136),(0.0079),(0.0136),(0.0072),(0.0115),(0.0049),(0.0075),(0.0040),(0.0064)
TSLE_Lasso,0.15,88.49%,69.43%,81.34%,71.51%,84.65%,61.45%,76.11%,63.91%,83.15%,58.04%,67.26%,59.66%
,,(0.0065),(0.0162),(0.0200),(0.0139),(0.0105),(0.0145),(0.0143),(0.0128),(0.0154),(0.0088),(0.0192),(0.0067)
,0.20,84.13%,69.52%,82.00%,71.69%,78.48%,61.14%,75.91%,63.61%,77.07%,59.29%,68.34%,60.89%
,,(0.0078),(0.0147),(0.0175),(0.0125),(0.0137),(0.0148),(0.0128),(0.0126),(0.0208),(0.0088),(0.0186),(0.0062)
,0.30,74.60%,69.94%,82.86%,72.18%,64.47%,60.39%,75.24%,62.87%,65.16%,62.14%,70.30%,63.60%
,,(0.0127),(0.0145),(0.0139),(0.0124),(0.0192),(0.0135),(0.0127),(0.0118),(0.0274),(0.0069),(0.0163),(0.0046)
TSLE_MCP,0.15,91.42%,74.80%,71.91%,74.20%,88.31%,66.31%,64.82%,66.00%,86.87%,60.78%,56.72%,59.92%
,,(0.0045),(0.0156),(0.0135),(0.0149),(0.0055),(0.0157),(0.0107),(0.0137),(0.0027),(0.0089),(0.0082),(0.0082)
,0.20,88.45%,75.67%,71.87%,74.88%,83.79%,66.69%,63.95%,66.12%,82.42%,62.21%,56.55%,60.99%
,,(0.0052),(0.0128),(0.0117),(0.0122),(0.0059),(0.0128),(0.0091),(0.0111),(0.0039),(0.0084),(0.0061),(0.0072)
,0.30,82.13%,77.45%,71.79%,76.25%,73.32%,66.95%,62.87%,66.07%,73.66%,65.57%,56.44%,63.51%
,,(0.0066),(0.0115),(0.0093),(0.0104),(0.0200),(0.0242),(0.0112),(0.0185),(0.0063),(0.0090),(0.0052),(0.0068)
