Method,alpha,City 1 Accuracy,City 1 Precision,City 1 Recall,City 1 $F_{0.5}$,City 2 Accuracy,City 2 Precision,City 2 Recall,City 2 $F_{0.5}$,City 3 Accuracy,City 3 Precision,City 3 Recall,City 3 $F_{0.5}$
TSLE_L0,0.01,99.29%,72.59%,47.75%,65.75%,99.17%,69.47%,36.42%,58.80%,99.07%,58.53%,31.19%,49.80%
,,(0.0011),(0.0836),(0.0556),(0.0759),(0.0008),(0.0691),(0.0365),(0.0586),(0.0004),(0.0371),(0.0200),(0.0317)
,0.05,96.11%,74.30%,48.93%,67.32%,95.43%,69.11%,36.47%,58.62%,95.15%,59.45%,31.69%,50.58%
,,(0.0026),(0.0326),(0.0217),(0.0296),(0.0030),(0.0308),(0.0162),(0.0261),(0.0016),(0.0184),(0.0102),(0.0158)
,0.10,91.62%,75.10%,49.42%,68.03%,90.22%,69.53%,36.74%,59.00%,89.88%,60.76%,32.42%,51.72%
,,(0.0049),(0.0230),(0.0151),(0.0208),(0.0056),(0.0196),(0.0106),(0.0168),(0.0028),(0.0157),(0.0085),(0.0134)
TSLE_Lasso,0.01,99.39%,71.00%,75.45%,71.82%,99.28%,66.55%,70.96%,67.37%,99.10%,57.01%,58.98%,57.38%
,,(0.0014),(0.0658),(0.0645),(0.0643),(0.0012),(0.0476),(0.0498),(0.0468),(0.0007),(0.0273),(0.0290),(0.0265)
,0.05,96.50%,69.46%,79.18%,71.18%,95.65%,63.26%,74.36%,65.20%,94.91%,56.57%,62.91%,57.71%
,,(0.0037),(0.0286),(0.0296),(0.0260),(0.0039),(0.0229),(0.0212),(0.0210),(0.0041),(0.0144),(0.0246),(0.0126)
,0.10,92.55%,69.19%,80.58%,71.19%,90.44%,62.09%,75.78%,64.41%,89.07%,56.99%,65.80%,58.54%
,,(0.0052),(0.0188),(0.0230),(0.0159),(0.0068),(0.0181),(0.0170),(0.0162),(0.0102),(0.0122),(0.0231),(0.0094)
TSLE_MCP,0.01,99.47%,72.96%,72.93%,72.96%,99.34%,67.55%,68.38%,67.71%,99.15%,57.61%,57.51%,57.59%
,,(0.0012),(0.0640),(0.0629),(0.0636),(0.0010),(0.0494),(0.0488),(0.0490),(0.0006),(0.0280),(0.0277),(0.0279)
,0.05,97.24%,73.38%,72.50%,73.20%,96.46%,66.23%,66.84%,66.35%,95.67%,58.22%,57.15%,58.00%
,,(0.0024),(0.0252),(0.0245),(0.0248),(0.0021),(0.0212),(0.0194),(0.0204),(0.0015),(0.0152),(0.0140),(0.0148)
,0.10,94.39%,74.18%,72.18%,73.77%,92.56%,66.21%,65.71%,66.10%,91.28%,59.42%,56.87%,58.89%
,,(0.0033),(0.0175),(0.0164),(0.0169),(0.0033),(0.0163),(0.0146),(0.0156),(0.0022),(0.0109),(0.0099),(0.0103)
