table_name,alpha,zeta,method,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f05,f05_std,n_exp_current,source_path
Table S.7,0.10,0.10,TSLESCAD,0.9031764019665028,0.01113473790375098,0.5779191576181943,0.1105175978091196,0.4744333333333333,0.1273516500787399,0.5144068573170811,0.1236414912203687,100,results/synthetic/synthetic_zeta10pct_alpha10.xlsx
Table S.7,0.10,0.10,TSLEMerged,0.916123387661234,0.01107403932194894,0.6256207656435686,0.07596281794659938,0.49777,0.05854619628976746,0.5862363472089966,0.07629349316819507,100,results/synthetic/synthetic_zeta10pct_alpha10.xlsx
Table S.7,0.10,0.10,TSLEAddition,0.9266023397660235,0.005569440811727925,0.6804591429332203,0.04033221239577739,0.5074799999999999,0.06034011600916976,0.6300248950594047,0.06782622955656153,100,results/synthetic/synthetic_zeta10pct_alpha10.xlsx
Table S.7,0.10,0.01,TSLESCAD,0.9367002749770852,0.007303112110584726,0.7332974236502594,0.04970810910856532,0.7504333333333334,0.1323544000863671,0.7123579094383481,0.1251740902884696,100,results/synthetic/synthetic_zeta1pct_alpha10.xlsx
Table S.7,0.10,0.01,TSLEMerged,0.9674662533746625,0.00743184257038307,0.860253407372067,0.02170312793850366,0.9161,0.09225817036989203,0.8626507366553594,0.08730434601686463,100,results/synthetic/synthetic_zeta1pct_alpha10.xlsx
Table S.7,0.10,0.01,TSLEAddition,0.993007699230077,0.00941112831954878,0.9796468735054841,0.004289630630701009,0.95017,0.09567455826916671,0.9657334015981909,0.09666400679958514,100,results/synthetic/synthetic_zeta1pct_alpha10.xlsx
Table S.7,0.10,0.05,TSLESCAD,0.9274443796350305,0.007194534034674149,0.6866292338506271,0.0574888687493975,0.63295,0.09181854236602843,0.6593333513613834,0.09801664907501668,100,results/synthetic/synthetic_zeta5pct_alpha10.xlsx
Table S.7,0.10,0.05,TSLEMerged,0.9457244275572444,0.01166592983242448,0.778512549924868,0.09976194767868589,0.71394,0.1463807241408515,0.7409326898650683,0.1555198320324147,100,results/synthetic/synthetic_zeta5pct_alpha10.xlsx
Table S.7,0.10,0.05,TSLEAddition,0.9631106889311069,0.01379823071491225,0.8659295862304052,0.09196270335538097,0.7408699999999999,0.1546303757351705,0.8151055884389622,0.1672074963286125,100,results/synthetic/synthetic_zeta5pct_alpha10.xlsx
