Method,$\alpha$,City 1 | Accuracy,City 1 | Precision,City 1 | Recall,City 1 | $F_{0.5}$,City 2 | Accuracy,City 2 | Precision,City 2 | Recall,City 2 | $F_{0.5}$,City 3 | Accuracy,City 3 | Precision,City 3 | Recall,City 3 | $F_{0.5}$
L0,0.01,99.86\% (0.0009),99.31\% (0.0309),89.88\% (0.0303),97.26\% (0.0306),99.71\% (0.0009),99.44\% (0.0157),77.48\% (0.0140),94.10\% (0.0151),99.86\% (0.0008),98.70\% (0.0293),91.80\% (0.0376),97.23\% (0.0304)
L0,0.05,98.59\% (0.0052),97.32\% (0.0309),88.06\% (0.0293),95.31\% (0.0303),97.61\% (0.0049),95.88\% (0.0270),74.36\% (0.0224),90.63\% (0.0258),98.55\% (0.0047),96.77\% (0.0290),89.79\% (0.0287),95.29\% (0.0288)
L0,0.10,96.04\% (0.0124),96.04\% (0.0386),87.06\% (0.0354),94.10\% (0.0378),93.94\% (0.0112),94.88\% (0.0228),73.72\% (0.0178),89.72\% (0.0216),96.10\% (0.0111),96.15\% (0.0265),89.36\% (0.0252),94.71\% (0.0262)
Lasso,0.01,100.00\% (0.0002),99.91\% (0.0085),100.00\% (0.0000),99.93\% (0.0069),99.99\% (0.0003),99.43\% (0.0155),99.80\% (0.0057),99.50\% (0.0131),99.99\% (0.0002),99.65\% (0.0067),99.90\% (0.0024),99.70\% (0.0057)
Lasso,0.05,99.95\% (0.0008),99.45\% (0.0095),99.86\% (0.0029),99.53\% (0.0080),99.65\% (0.0016),96.66\% (0.0186),98.69\% (0.0066),97.06\% (0.0155),99.82\% (0.0059),99.27\% (0.0057),99.66\% (0.0021),99.35\% (0.0048)
Lasso,0.10,99.67\% (0.0025),98.26\% (0.0141),99.66\% (0.0029),98.54\% (0.0116),98.57\% (0.0034),93.63\% (0.0180),97.31\% (0.0062),94.34\% (0.0152),99.22\% (0.0175),98.73\% (0.0056),99.33\% (0.0020),98.85\% (0.0048)
MCP,0.01,100.00\% (0.0002),99.68\% (0.0143),99.97\% (0.0031),99.73\% (0.0118),99.95\% (0.0005),97.08\% (0.0316),99.64\% (0.0088),97.57\% (0.0265),99.99\% (0.0002),99.35\% (0.0094),99.90\% (0.0022),99.46\% (0.0077)
MCP,0.05,99.95\% (0.0007),99.47\% (0.0080),99.92\% (0.0021),99.56\% (0.0066),99.49\% (0.0017),94.86\% (0.0187),98.20\% (0.0076),95.50\% (0.0160),99.82\% (0.0008),97.96\% (0.0108),99.49\% (0.0026),98.26\% (0.0089)
MCP,0.10,99.83\% (0.0014),99.10\% (0.0080),99.79\% (0.0026),99.24\% (0.0067),98.46\% (0.0037),93.02\% (0.0192),96.82\% (0.0069),93.75\% (0.0164),99.42\% (0.0019),96.93\% (0.0113),99.02\% (0.0032),97.34\% (0.0090)
