Method,$\alpha$,City 1 | Accuracy,City 1 | Precision,City 1 | Recall,City 1 | $F_{0.5}$,City 2 | Accuracy,City 2 | Precision,City 2 | Recall,City 2 | $F_{0.5}$,City 3 | Accuracy,City 3 | Precision,City 3 | Recall,City 3 | $F_{0.5}$
L0,0.15,86.73\% (0.0072),75.37\% (0.0223),49.56\% (0.0146),68.26\% (0.0201),84.65\% (0.0069),69.84\% (0.0188),36.88\% (0.0100),59.25\% (0.0160),84.38\% (0.0039),62.41\% (0.0102),33.32\% (0.0054),53.13\% (0.0087)
L0,0.20,81.50\% (0.0093),76.15\% (0.0191),50.11\% (0.0128),68.98\% (0.0174),78.86\% (0.0074),69.96\% (0.0174),36.98\% (0.0091),59.37\% (0.0147),78.66\% (0.0044),64.19\% (0.0098),34.28\% (0.0052),54.65\% (0.0083)
L0,0.30,70.55\% (0.0130),78.41\% (0.0149),51.64\% (0.0099),71.04\% (0.0136),67.08\% (0.0079),71.09\% (0.0136),37.59\% (0.0072),60.34\% (0.0115),67.12\% (0.0049),67.48\% (0.0075),36.05\% (0.0040),57.46\% (0.0064)
Lasso,0.15,88.49\% (0.0065),69.43\% (0.0162),81.34\% (0.0200),71.51\% (0.0139),84.65\% (0.0105),61.45\% (0.0145),76.11\% (0.0143),63.91\% (0.0128),83.15\% (0.0154),58.04\% (0.0088),67.26\% (0.0192),59.66\% (0.0067)
Lasso,0.20,84.13\% (0.0078),69.52\% (0.0147),82.00\% (0.0175),71.69\% (0.0125),78.48\% (0.0137),61.14\% (0.0148),75.91\% (0.0128),63.61\% (0.0126),77.07\% (0.0208),59.29\% (0.0088),68.34\% (0.0186),60.89\% (0.0062)
Lasso,0.30,74.60\% (0.0127),69.94\% (0.0145),82.86\% (0.0139),72.18\% (0.0124),64.47\% (0.0192),60.39\% (0.0135),75.24\% (0.0127),62.87\% (0.0118),65.16\% (0.0274),62.14\% (0.0069),70.30\% (0.0163),63.60\% (0.0046)
MCP,0.15,91.42\% (0.0045),74.80\% (0.0156),71.91\% (0.0135),74.20\% (0.0149),88.31\% (0.0055),66.31\% (0.0157),64.82\% (0.0107),66.00\% (0.0137),86.87\% (0.0027),60.78\% (0.0089),56.72\% (0.0082),59.92\% (0.0082)
MCP,0.20,88.45\% (0.0052),75.67\% (0.0128),71.87\% (0.0117),74.88\% (0.0122),83.79\% (0.0059),66.69\% (0.0128),63.95\% (0.0091),66.12\% (0.0111),82.42\% (0.0039),62.21\% (0.0084),56.55\% (0.0061),60.99\% (0.0072)
MCP,0.30,82.13\% (0.0066),77.45\% (0.0115),71.79\% (0.0093),76.25\% (0.0104),73.32\% (0.0200),66.95\% (0.0242),62.87\% (0.0112),66.07\% (0.0185),73.66\% (0.0063),65.57\% (0.0090),56.44\% (0.0052),63.51\% (0.0068)
