Method,$\alpha$,City 1 | Accuracy,City 1 | Precision,City 1 | Recall,City 1 | $F_{0.5}$,City 2 | Accuracy,City 2 | Precision,City 2 | Recall,City 2 | $F_{0.5}$,City 3 | Accuracy,City 3 | Precision,City 3 | Recall,City 3 | $F_{0.5}$
L0,0.01,99.29\% (0.0011),72.59\% (0.0836),47.75\% (0.0556),65.75\% (0.0759),99.17\% (0.0008),69.47\% (0.0691),36.42\% (0.0365),58.80\% (0.0586),99.07\% (0.0004),58.53\% (0.0371),31.19\% (0.0200),49.80\% (0.0317)
L0,0.05,96.11\% (0.0026),74.30\% (0.0326),48.93\% (0.0217),67.32\% (0.0296),95.43\% (0.0030),69.11\% (0.0308),36.47\% (0.0162),58.62\% (0.0261),95.15\% (0.0016),59.45\% (0.0184),31.69\% (0.0102),50.58\% (0.0158)
L0,0.10,91.62\% (0.0049),75.10\% (0.0230),49.42\% (0.0151),68.03\% (0.0208),90.22\% (0.0056),69.53\% (0.0196),36.74\% (0.0106),59.00\% (0.0168),89.88\% (0.0028),60.76\% (0.0157),32.42\% (0.0085),51.72\% (0.0134)
Lasso,0.01,99.39\% (0.0014),71.00\% (0.0658),75.45\% (0.0645),71.82\% (0.0643),99.28\% (0.0012),66.55\% (0.0476),70.96\% (0.0498),67.37\% (0.0468),99.10\% (0.0007),57.01\% (0.0273),58.98\% (0.0290),57.38\% (0.0265)
Lasso,0.05,96.50\% (0.0037),69.46\% (0.0286),79.18\% (0.0296),71.18\% (0.0260),95.65\% (0.0039),63.26\% (0.0229),74.36\% (0.0212),65.20\% (0.0210),94.91\% (0.0041),56.57\% (0.0144),62.91\% (0.0246),57.71\% (0.0126)
Lasso,0.10,92.55\% (0.0052),69.19\% (0.0188),80.58\% (0.0230),71.19\% (0.0159),90.44\% (0.0068),62.09\% (0.0181),75.78\% (0.0170),64.41\% (0.0162),89.07\% (0.0102),56.99\% (0.0122),65.80\% (0.0231),58.54\% (0.0094)
MCP,0.01,99.47\% (0.0012),72.96\% (0.0640),72.93\% (0.0629),72.96\% (0.0636),99.34\% (0.0010),67.55\% (0.0494),68.38\% (0.0488),67.71\% (0.0490),99.15\% (0.0006),57.61\% (0.0280),57.51\% (0.0277),57.59\% (0.0279)
MCP,0.05,97.24\% (0.0024),73.38\% (0.0252),72.50\% (0.0245),73.20\% (0.0248),96.46\% (0.0021),66.23\% (0.0212),66.84\% (0.0194),66.35\% (0.0204),95.67\% (0.0015),58.22\% (0.0152),57.15\% (0.0140),58.00\% (0.0148)
MCP,0.10,94.39\% (0.0033),74.18\% (0.0175),72.18\% (0.0164),73.77\% (0.0169),92.56\% (0.0033),66.21\% (0.0163),65.71\% (0.0146),66.10\% (0.0156),91.28\% (0.0022),59.42\% (0.0109),56.87\% (0.0099),58.89\% (0.0103)
