table_name,city,ratio,method,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f05,f05_std,n_exp_current,source_path,matrix_type
Table S.2,city2,0.10,Lasso,0.9044242869127517,0.006762290984764506,0.6209351959048709,0.01810232627755361,0.7577544596012591,0.01695551041409057,0.6440944861687988,0.01616888236566201,100,results/other_methods/othermethods_original_city2_ratio0.10.xlsx,original
Table S.2,city2,0.10,L0,0.9022483221476507,0.005615847883896927,0.6952685745355072,0.0196349954448754,0.3674396642182581,0.01062359149070342,0.5899895715974184,0.01676780042753569,100,results/other_methods/othermethods_original_city2_ratio0.10.xlsx,original
Table S.2,city3,0.01,MCP,0.9914720055468885,0.0005573798264061904,0.5761135070067236,0.02803714643839882,0.5751041666666665,0.02770674511599729,0.5759050981745548,0.02790793340515923,100,results/other_methods/othermethods_original_city3_ratio0.01.xlsx,original
Table S.2,city3,0.01,Lasso,0.9909672386895475,0.0007230658142685811,0.5700662261223287,0.02729103292454294,0.5897569444444445,0.02901072315982786,0.5737907895079696,0.02645144578535933,100,results/other_methods/othermethods_original_city3_ratio0.01.xlsx,original
Table S.2,city3,0.01,L0,0.9907155486219449,0.0004141546996652143,0.5852986343676121,0.037117718784898,0.3119444444444444,0.01999300610738356,0.4980142545791847,0.03166926547901344,100,results/other_methods/othermethods_original_city3_ratio0.01.xlsx,original
Table S.2,city3,0.05,MCP,0.956721095510487,0.001484811155072609,0.582224009293049,0.01518897264307686,0.5714840499306518,0.0139855350847461,0.5800370262975634,0.01481437871114856,100,results/other_methods/othermethods_original_city3_ratio0.05.xlsx,original
Table S.2,city3,0.05,Lasso,0.9490733229329174,0.004110751123958345,0.5656579823742571,0.01435025072998872,0.6290915395284328,0.02458122127974217,0.5771085163986932,0.01257034734641981,100,results/other_methods/othermethods_original_city3_ratio0.05.xlsx,original
Table S.2,city3,0.05,L0,0.9514616051308719,0.001586426903957103,0.5944801651394473,0.01837160578067362,0.316879334257975,0.01021600312372439,0.5058485826836527,0.01582701698974791,100,results/other_methods/othermethods_original_city3_ratio0.05.xlsx,original
Table S.2,city3,0.10,MCP,0.9128389668920088,0.002223591323793094,0.5941718484940858,0.01086552886816212,0.5686615811373094,0.009875716355126105,0.5888767435538856,0.01033784621342057,100,results/other_methods/othermethods_original_city3_ratio0.10.xlsx,original
Table S.2,city3,0.10,Lasso,0.8906756803605477,0.01015278601488305,0.5699048514211174,0.01216791068727048,0.6579576976421636,0.02314448305329575,0.5853804730176878,0.009415340992918148,100,results/other_methods/othermethods_original_city3_ratio0.10.xlsx,original
Table S.2,city3,0.10,L0,0.8987574969665454,0.002752928191400721,0.6076282956431615,0.0157263107586944,0.3242163661581137,0.008534599429854869,0.5172040768956043,0.01342707342417135,100,results/other_methods/othermethods_original_city3_ratio0.10.xlsx,original
