table_name,city,ratio,method,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f05,f05_std,n_exp_current,source_path
Table S.6,city1,0.15,TSLESCAD,0.914770805518469,0.005250124293311324,0.7509610497833559,0.01800832985070122,0.7199554896142435,0.01624527455054941,0.7445345018122075,0.01735108460912356,100,results/main_scad/scad_city1_ratio0.15.xlsx
Table S.6,city1,0.15,TSLEMerged,0.9966564417177913,0.002365943582610255,0.9900267387428413,0.007622742864566714,0.9977709611451944,0.002026398106124386,0.991558789554646,0.00636413617487441,100,results/main_scad/scad_city1_ratio0.15.xlsx
Table S.6,city1,0.15,TSLERandom,0.9991303522863828,0.001074121346464225,0.997797480780234,0.003161610089275044,0.9993253641979213,0.001236153329055207,0.9981015816996489,0.002686958639799838,97,results/main_scad/scad_city1_ratio0.15.xlsx
Table S.6,city1,0.15,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,97,results/main_scad/scad_city1_ratio0.15.xlsx
Table S.6,city1,0.20,TSLESCAD,0.8857409879839784,0.005662263002647492,0.7607219261170606,0.0135499615182804,0.7203674832962139,0.0132996781570143,0.7522797840155581,0.01311727162184051,100,results/main_scad/scad_city1_ratio0.20.xlsx
Table S.6,city1,0.20,TSLEMerged,0.9937791411042943,0.003231527758069317,0.9868227536871946,0.008024276950305855,0.9971625766871165,0.002118286398302616,0.9888650378655025,0.006668223804761649,100,results/main_scad/scad_city1_ratio0.20.xlsx
Table S.6,city1,0.20,TSLERandom,0.9988101877672432,0.001221771689953349,0.9978858834681065,0.00250268281645959,0.9994267831691146,0.0009647640501295268,0.9981929294535934,0.002110717216669829,99,results/main_scad/scad_city1_ratio0.20.xlsx
Table S.6,city1,0.20,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,99,results/main_scad/scad_city1_ratio0.20.xlsx
Table S.6,city1,0.30,TSLESCAD,0.8248175344904317,0.006621338480705585,0.7809141668240086,0.01045035981631379,0.7201186943620178,0.00950138915356372,0.7679349899638959,0.009768085333915356,100,results/main_scad/scad_city1_ratio0.30.xlsx
Table S.6,city1,0.30,TSLEMerged,0.9845398773006134,0.004567154005014647,0.9797997380800684,0.006884432689950002,0.9947852760736197,0.002297771477939084,0.982754374704913,0.005763235879562569,100,results/main_scad/scad_city1_ratio0.30.xlsx
Table S.6,city1,0.30,TSLERandom,0.9986840490797546,0.00130524626348749,0.9986126866920471,0.001592498013134418,0.9995501022494888,0.0006355938759885577,0.9987997417521364,0.001351137331902727,100,results/main_scad/scad_city1_ratio0.30.xlsx
Table S.6,city1,0.30,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,100,results/main_scad/scad_city1_ratio0.30.xlsx
Table S.6,city2,0.15,TSLESCAD,0.8855002097315436,0.005417525625813088,0.6816376501268501,0.03409632502130581,0.6534755244755245,0.0665857260043475,0.6679389134784739,0.0677012938536718,100,results/main_scad/scad_city2_ratio0.15.xlsx
Table S.6,city2,0.15,TSLEMerged,0.9749961508852966,0.003636172913102511,0.941200572353517,0.01013580914882305,0.9748254620123205,0.005142661176790885,0.9477215094483021,0.008522310209267704,100,results/main_scad/scad_city2_ratio0.15.xlsx
Table S.6,city2,0.15,TSLERandom,0.985311778290993,0.002337930851703239,0.9667080188022726,0.005818753956192303,0.987186858316222,0.003119122869278812,0.9707313466525843,0.00502313934700809,100,results/main_scad/scad_city2_ratio0.15.xlsx
Table S.6,city2,0.15,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,100,results/main_scad/scad_city2_ratio0.15.xlsx
Table S.6,city2,0.20,TSLESCAD,0.8413758389261744,0.005517265611151455,0.6812946126004311,0.01184658616076334,0.6523177766124804,0.008840948405466216,0.675266871400133,0.01040552495909477,100,results/main_scad/scad_city2_ratio0.20.xlsx
Table S.6,city2,0.20,TSLEMerged,0.9578783679753655,0.00414443272843918,0.9303845286064977,0.008739790538185048,0.9652193995381063,0.005063749950809346,0.9371331477289696,0.00724492502562914,100,results/main_scad/scad_city2_ratio0.20.xlsx
Table S.6,city2,0.20,TSLERandom,0.9793194765204004,0.002830678208085818,0.9668614220027375,0.005003447673370641,0.986358737490377,0.003032906993624322,0.9706958769025884,0.00436191839679119,100,results/main_scad/scad_city2_ratio0.20.xlsx
Table S.6,city2,0.20,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,100,results/main_scad/scad_city2_ratio0.20.xlsx
Table S.6,city2,0.30,TSLESCAD,0.7422630033557047,0.01206058118702004,0.6876432293947599,0.01583143031411816,0.6381853146853147,0.008949586719508202,0.6770596479998404,0.01245887815041256,100,results/main_scad/scad_city2_ratio0.30.xlsx
Table S.6,city2,0.30,TSLEMerged,0.9051870669745958,0.01298752575088454,0.9028751594432299,0.01856826148634136,0.9474075975359342,0.007909335006729917,0.9113555298321286,0.01489037202449838,100,results/main_scad/scad_city2_ratio0.30.xlsx
Table S.6,city2,0.30,TSLERandom,0.9722109314857583,0.003302136278794566,0.9727895546705965,0.003835620836858964,0.9877207392197127,0.002583803617774434,0.9757377179384575,0.003371182987393848,100,results/main_scad/scad_city2_ratio0.30.xlsx
Table S.6,city2,0.30,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,100,results/main_scad/scad_city2_ratio0.30.xlsx
Table S.6,city3,0.15,TSLESCAD,0.8698665279944531,0.002751326698683323,0.6133204608966936,0.008997307898402092,0.5705732778548311,0.00754033118628372,0.6042526563329912,0.00820646866822885,100,results/main_scad/scad_city3_ratio0.15.xlsx
Table S.6,city3,0.15,TSLEMerged,0.9918580388372935,0.002043460126607874,0.9778423255371729,0.007688241571077176,0.9938520305589065,0.001711882705994776,0.9809923281223106,0.006176733819000728,100,results/main_scad/scad_city3_ratio0.15.xlsx
Table S.6,city3,0.15,TSLERandom,0.9972343505005428,0.0007873627069577433,0.9939086434777419,0.001811730860220363,0.9975351829513471,0.001047992606227272,0.994631490473307,0.00158164848473401,100,results/main_scad/scad_city3_ratio0.15.xlsx
Table S.6,city3,0.15,TSLEAddition,0.9999861295380533,2.936492298622517e-05,1.0,0.0,1.0,0.0,1.0,0.0,100,results/main_scad/scad_city3_ratio0.15.xlsx
Table S.6,city3,0.20,TSLESCAD,0.8265831166579996,0.002930692533647638,0.6296047230957641,0.007334112296158025,0.5689010227075749,0.005834258214674423,0.6164376251771676,0.006475796877556613,100,results/main_scad/scad_city3_ratio0.20.xlsx
Table S.6,city3,0.20,TSLEMerged,0.985042214449403,0.003893198774650686,0.9697599342109892,0.01162322033911399,0.9921049457177321,0.001794459757537679,0.9741229666242703,0.009298163038169818,100,results/main_scad/scad_city3_ratio0.20.xlsx
Table S.6,city3,0.20,TSLERandom,0.9961343625618139,0.0008873235527563308,0.9938861051435524,0.001476077178449485,0.9973884197828708,0.0009267714881605988,0.9945843463371054,0.001290778300761472,100,results/main_scad/scad_city3_ratio0.20.xlsx
Table S.6,city3,0.20,TSLEAddition,0.9999728621396696,3.75404040465219e-05,1.0,0.0,1.0,0.0,1.0,0.0,100,results/main_scad/scad_city3_ratio0.20.xlsx
Table S.6,city3,0.30,TSLESCAD,0.7395687294158434,0.004378645192225474,0.6621395112998485,0.007131815398313107,0.5664798335837282,0.00509963875735576,0.640489487806063,0.00573471616565189,100,results/main_scad/scad_city3_ratio0.30.xlsx
