table_name,city,ratio,method,accuracy,accuracy_std,precision,precision_std,recall,recall_std,f05,f05_std,n_exp_current,source_path
Table 1,city1,0.01,TSLESCAD,0.9945683133066311,0.001252089629133176,0.7251892126523067,0.0647976774441369,0.7234090909090911,0.06347829394094404,0.7248210330118225,0.06446809262055274,100,results/main_scad/scad_city1_ratio0.01.xlsx
Table 1,city1,0.01,TSLEMerged,0.9999877300613497,0.0001220843481112411,0.9991428571428571,0.008528463746628176,1.0,0.0,0.9993023255813953,0.006941772817022942,100,results/main_scad/scad_city1_ratio0.01.xlsx
Table 1,city1,0.01,TSLERandom,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,results/main_scad/scad_city1_ratio0.01.xlsx
Table 1,city1,0.01,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,results/main_scad/scad_city1_ratio0.01.xlsx
Table 1,city1,0.05,TSLESCAD,0.9721895861148198,0.002590789159897907,0.7321520080496213,0.02659985275161716,0.7220535714285714,0.02585141387796412,0.7300937501793823,0.02622181516506934,100,results/main_scad/scad_city1_ratio0.05.xlsx
Table 1,city1,0.05,TSLEMerged,0.9997055214723926,0.0005537128451311049,0.9972813615909996,0.006221534969853463,0.9996932515337423,0.001593911786106328,0.9977574636040939,0.00513133193986482,100,results/main_scad/scad_city1_ratio0.05.xlsx
Table 1,city1,0.05,TSLERandom,0.9995044832468145,0.0006483544909879192,0.9964877234741519,0.005613965048802514,0.9981123171307222,0.002831524303916926,0.9968092620430373,0.00489507793460277,26,results/main_scad/scad_city1_ratio0.05.xlsx
Table 1,city1,0.05,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26,results/main_scad/scad_city1_ratio0.05.xlsx
Table 1,city1,0.10,TSLESCAD,0.9441255006675567,0.003388649650735988,0.7436081051931858,0.01775591797848619,0.7215367483296213,0.01708824087350456,0.7390727901688416,0.017323061794017,100,results/main_scad/scad_city1_ratio0.10.xlsx
Table 1,city1,0.10,TSLEMerged,0.9986748466257667,0.001265410854905881,0.9940468037475099,0.006483385374997186,0.9984969325153376,0.002355979992554885,0.99492933882471,0.005530073997814799,100,results/main_scad/scad_city1_ratio0.10.xlsx
Table 1,city1,0.10,TSLERandom,0.9991419934204678,0.0008526806313693192,0.9966862021718954,0.003797370279912546,0.9991553303103049,0.001722932548686404,0.9971770195592597,0.003182704106661831,69,results/main_scad/scad_city1_ratio0.10.xlsx
Table 1,city1,0.10,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,69,results/main_scad/scad_city1_ratio0.10.xlsx
Table 1,city2,0.01,TSLESCAD,0.993628355704698,0.0009040524350149862,0.6852471358931486,0.04561517944397521,0.6857894736842107,0.04579552289140836,0.6853412681311565,0.04554920654577221,100,results/main_scad/scad_city2_ratio0.01.xlsx
Table 1,city2,0.01,TSLEMerged,0.999855273287144,0.0002638325969316905,0.9935978586090526,0.01251783083326204,0.998125,0.005077524002897476,0.9944806280224785,0.01060542778494178,100,results/main_scad/scad_city2_ratio0.01.xlsx
Table 1,city2,0.01,TSLERandom,0.9996624622490674,0.0003308219985423883,0.9876347987068423,0.01329263783242737,0.9963942307692307,0.006583203816167862,0.9893512884837942,0.01133236784382686,26,results/main_scad/scad_city2_ratio0.01.xlsx
Table 1,city2,0.01,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,26,results/main_scad/scad_city2_ratio0.01.xlsx
Table 1,city2,0.05,TSLESCAD,0.9657151845637586,0.00207998396831942,0.6774918778978097,0.01945552257790794,0.6739705882352942,0.01848666681148181,0.676772412624175,0.01904683949357351,100,results/main_scad/scad_city2_ratio0.05.xlsx
Table 1,city2,0.05,TSLEMerged,0.9967975365665898,0.001150312292184937,0.9748109332618704,0.009564070693636519,0.9921296296296295,0.004808776682371262,0.9782151540746611,0.00822786281988914,100,results/main_scad/scad_city2_ratio0.05.xlsx
Table 1,city2,0.05,TSLERandom,0.9972101616628176,0.001165925753027322,0.9789040379664954,0.00915968836133223,0.9925617283950617,0.004823018493865208,0.9815968809109347,0.00798940426761407,100,results/main_scad/scad_city2_ratio0.05.xlsx
Table 1,city2,0.05,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,100,results/main_scad/scad_city2_ratio0.05.xlsx
Table 1,city2,0.10,TSLESCAD,0.927708682885906,0.003161582326544276,0.6780859962866325,0.01494348871220332,0.6675341028331586,0.01426356218042369,0.6759357505615479,0.01450115171028243,100,results/main_scad/scad_city2_ratio0.10.xlsx
Table 1,city2,0.10,TSLEMerged,0.988484988452656,0.002472874038875668,0.9575468227029258,0.01063678714227674,0.9836363636363638,0.005698079417669914,0.962641113487122,0.009288527201904567,100,results/main_scad/scad_city2_ratio0.10.xlsx
Table 1,city2,0.10,TSLERandom,0.9916905311778289,0.001806898258752202,0.970586483772053,0.006869505479004195,0.9887673343605546,0.003622069788823171,0.9741638860475575,0.005978070035495971,100,results/main_scad/scad_city2_ratio0.10.xlsx
Table 1,city2,0.10,TSLEAddition,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,100,results/main_scad/scad_city2_ratio0.10.xlsx
Table 1,city3,0.01,TSLESCAD,0.9915645692494366,0.0005827921472745205,0.5811740594217293,0.02939565024759504,0.5777777777777777,0.02962601251069659,0.580488686724288,0.02941510528772924,100,results/main_scad/scad_city3_ratio0.01.xlsx
