Method,$\alpha$,City 1 | Accuracy,City 1 | Precision,City 1 | Recall,City 1 | $F_{0.5}$,City 2 | Accuracy,City 2 | Precision,City 2 | Recall,City 2 | $F_{0.5}$,City 3 | Accuracy,City 3 | Precision,City 3 | Recall,City 3 | $F_{0.5}$
L0,0.15,93.16\% (0.0165),97.01\% (0.0228),87.96\% (0.0214),95.06\% (0.0225),89.29\% (0.0162),93.63\% (0.0192),72.66\% (0.0149),88.52\% (0.0181),93.23\% (0.0158),96.55\% (0.0227),89.77\% (0.0216),95.11\% (0.0224)
L0,0.20,89.59\% (0.0197),96.87\% (0.0198),87.87\% (0.0184),94.93\% (0.0195),84.27\% (0.0181),92.86\% (0.0152),72.10\% (0.0117),87.80\% (0.0143),89.00\% (0.0214),96.80\% (0.0151),90.04\% (0.0142),95.37\% (0.0149)
L0,0.30,81.09\% (0.0285),96.86\% (0.0119),87.97\% (0.0112),94.94\% (0.0118),72.50\% (0.0185),90.58\% (0.0148),70.36\% (0.0116),85.66\% (0.0140),80.57\% (0.0299),96.74\% (0.0096),89.98\% (0.0090),95.30\% (0.0095)
Lasso,0.15,99.20\% (0.0041),97.36\% (0.0149),99.60\% (0.0028),97.79\% (0.0123),96.79\% (0.0058),90.94\% (0.0174),95.99\% (0.0060),91.90\% (0.0146),98.16\% (0.0318),98.17\% (0.0060),99.02\% (0.0020),98.34\% (0.0050)
Lasso,0.20,98.39\% (0.0058),96.12\% (0.0155),99.46\% (0.0026),96.77\% (0.0127),94.03\% (0.0130),88.41\% (0.0203),94.70\% (0.0055),89.60\% (0.0172),96.65\% (0.0472),97.65\% (0.0058),98.73\% (0.0017),97.86\% (0.0047)
Lasso,0.30,95.25\% (0.0155),93.20\% (0.0201),99.10\% (0.0028),94.32\% (0.0166),85.79\% (0.0227),83.49\% (0.0188),92.32\% (0.0058),85.11\% (0.0159),91.63\% (0.0825),96.38\% (0.0076),98.12\% (0.0019),96.73\% (0.0063)
MCP,0.15,99.65\% (0.0022),98.83\% (0.0081),99.72\% (0.0022),99.00\% (0.0067),97.02\% (0.0045),91.65\% (0.0150),95.66\% (0.0073),92.42\% (0.0129),98.93\% (0.0033),96.56\% (0.0120),98.77\% (0.0034),96.99\% (0.0094)
MCP,0.20,99.29\% (0.0033),98.32\% (0.0086),99.58\% (0.0026),98.57\% (0.0072),95.11\% (0.0058),90.49\% (0.0143),94.49\% (0.0070),91.26\% (0.0124),98.19\% (0.0051),95.84\% (0.0139),98.66\% (0.0044),96.38\% (0.0107)
MCP,0.30,98.26\% (0.0048),97.55\% (0.0077),99.39\% (0.0020),97.91\% (0.0064),89.58\% (0.0211),88.19\% (0.0267),92.90\% (0.0091),89.07\% (0.0213),96.51\% (0.0072),95.36\% (0.0119),98.36\% (0.0055),95.94\% (0.0089)
