Figure,City,alpha,alpha_label,experiments_completed,P_err_LUR,P_err_LUR_std,R_asy_LUR,R_asy_LUR_std,R_asy_nonLUR,R_asy_nonLUR_std,UHCE_Edges_Count,UHCE_Edges_Count_std,HCE_Edges_Count,HCE_Edges_Count_std,SHCE_Edges_Count,SHCE_Edges_Count_std,UHCE_Confidence,UHCE_Confidence_std,HCE_Confidence,HCE_Confidence_std,SHCE_Confidence,SHCE_Confidence_std
Figure S.5,City 2,0.01,0.01,100,1.0,0.0,0.1045676073101921,0.07093860469620973,0.008858919293542718,0.0005152869432929666,56.86,3.666115110031326,0.78,0.8669486720677297,6.59,3.328948783024455,1.0,0.0,1.0,0.0,0.959281916913496,0.08657838626999376
Figure S.5,City 2,0.05,0.05,100,1.0,0.0,0.1200026528429217,0.006141476004847772,0.03126089872260858,0.001914502092493047,158.6,12.66017377447877,38.28,5.922972226846923,132.64,10.75594719213515,1.0,0.0,0.9987844416809882,0.005345339024349282,0.9399297849216112,0.02453320861285288
Figure S.5,City 2,0.1,0.1,100,1.0,0.0,0.1644289341797059,0.003866985968673825,0.04753588819079471,0.003298613571734854,162.75,14.30340868464577,111.0,8.580209787645055,394.43,14.37724243379098,1.0,0.0,0.9986536762981457,0.003215658842683351,0.9252739659994734,0.01533656113792743
Figure S.5,City 2,0.15,0.15,100,0.9986144384887717,0.003386236002912511,0.2133692629925523,0.004190959038519238,0.05839206675196323,0.004721903556852231,141.47,13.53843048510425,170.16,10.73100181716507,699.07,21.9085622531466,0.9998549130525874,0.001018043624578555,0.9979279117117602,0.00332707356107614,0.9141885441173017,0.01338672319962568
Figure S.5,City 2,0.2,0.2,100,0.9986805315360229,0.003856145400870234,0.2625780717648968,0.003999019295824132,0.06686011054619452,0.00574412946876368,121.13,12.41100721134268,209.15,11.32022526277636,1020.98,22.7631192941565,0.9992955654528849,0.002829811718875034,0.9955874058741103,0.004934529939730428,0.9062783786272007,0.01019972568789392
Figure S.5,City 2,0.3,0.3,100,0.9990281433939205,0.001810999570433027,0.3614659137593016,0.00945497016100008,0.07920487878591433,0.008145854970018088,83.8,10.17939094445243,238.9,16.63700694235595,1726.8,65.78039221530987,0.9983492658553514,0.004108909941323717,0.9903352016738931,0.006246578035173539,0.8851792054986207,0.01860566750975375
