Figure,City,alpha,alpha_label,experiments_completed,P_err_LUR,P_err_LUR_std,R_asy_LUR,R_asy_LUR_std,R_asy_nonLUR,R_asy_nonLUR_std,UHCE_Edges_Count,UHCE_Edges_Count_std,HCE_Edges_Count,HCE_Edges_Count_std,SHCE_Edges_Count,SHCE_Edges_Count_std,UHCE_Confidence,UHCE_Confidence_std,HCE_Confidence,HCE_Confidence_std,SHCE_Confidence,SHCE_Confidence_std
Figure 5,City 1,0.01,0.01,100,1,0,0.09513917420127321,0.04399219491992917,0.008459045102022522,0.0007883283409588958,27.15,2.776238462380348,0.29,0.5881326381013045,4.59,2.538089832925541,1,0,1.0,0.0,0.9960106382978723,0.03847201101459956
Figure 5,City 1,0.05,0.05,100,1,0,0.1099763016484367,0.006144871505662427,0.02732528399594401,0.002370363456849692,64.58,7.333730292286458,12.17,3.079139490182282,86.64,7.664880951456454,1,0,1.0,0.0,0.995253112372911,0.01116551731097727
Figure 5,City 1,0.1,0.1,100,1,0,0.140171109350777,0.004878551912575878,0.03836680122273604,0.004460573510759369,48.85,7.667300698420534,27.59,4.514631767929695,251.08,7.891362366537226,1,0,1.0,0.0,0.9921251246026043,0.008299900340500179
Figure 5,City 1,0.15,0.15,100,1,0,0.1778735760820809,0.004391458720044304,0.04628598289035691,0.00763165587008934,30.55,6.101434257615171,30.99,5.121513448190877,431.3,8.66083136886985,1,0,0.9996666666666667,0.003316624790355399,0.9886709170525368,0.008490009277284636
Figure 5,City 1,0.2,0.2,100,1,0,0.2204355631230714,0.003417791289197101,0.05253647968448032,0.009604075460764605,18.57,4.414193017981883,28.69,4.906516075587647,612.01,8.244385968645572,1,0,0.9992153846153846,0.005493384940681736,0.9850775097369749,0.008866420982142222
Figure 5,City 1,0.3,0.3,100,1,0,0.3132229901762067,0.002741952532666815,0.06408629733980337,0.01988486656217785,7.04,2.8032837887021,19.19,3.783371512289006,967.47,8.560905325957062,1,0,0.9987593984962406,0.008785337050851605,0.9784683326835731,0.007067192590050058
