Figure,City,alpha,alpha_label,experiments_completed,P_err_LUR,P_err_LUR_std,R_asy_LUR,R_asy_LUR_std,R_asy_nonLUR,R_asy_nonLUR_std,UHCE_Edges_Count,UHCE_Edges_Count_std,HCE_Edges_Count,HCE_Edges_Count_std,SHCE_Edges_Count,SHCE_Edges_Count_std,UHCE_Confidence,UHCE_Confidence_std,HCE_Confidence,HCE_Confidence_std,SHCE_Confidence,SHCE_Confidence_std
Figure S.6,City 3,0.01,0.01,100,1.0,0.0,0.03316093618568579,0.002484371291658638,0.006538779765909769,0.0005467739665541379,94.54,9.726684944008417,9.16,2.64090893443905,61.63,8.686374387510591,1.0,0.0,1.0,0.0,0.9938933683449288,0.01353732772974169
Figure S.6,City 3,0.05,0.05,100,1.0,0.0,0.0628747658100292,0.001141185880969922,0.0169783117677144,0.001709247053268751,77.02,9.485757745167225,81.4,7.847292526725381,675.98,13.01920120437502,1.0,0.0,0.9996413741598208,0.002058012799638667,0.9894734085506307,0.007359492016545623
Figure S.6,City 3,0.1,0.1,100,1.0,0.0,0.1121719524769827,0.001284896223274924,0.02383765792967673,0.003394676970994901,48.22,7.793048184118971,121.19,10.2173333115838,1512.13,23.01897260956709,1.0,0.0,0.9994407938650456,0.00204041119733188,0.9803654307676095,0.01010972198036587
Figure S.6,City 3,0.15,0.15,100,0.9996047617810053,0.001993913381660992,0.1631649633305274,0.001394942948670186,0.02780585775270459,0.004239549770749079,36.81,6.26369699139414,152.05,11.4441032850984,2337.88,29.27773215261045,0.9998039215686275,0.001950955759032593,0.9988816648780915,0.002483628829799157,0.9767177678958872,0.007955929439466733
Figure S.6,City 3,0.2,0.2,100,0.9993838477777424,0.001663999347973234,0.2153526305307324,0.002594759061133046,0.02981411287572856,0.005541200642231807,28.93,5.855347982827323,169.49,13.41975782195789,3193.03,54.85862830950114,0.9994469696969697,0.003889330782974616,0.9988049064742432,0.002744956099325473,0.9685106444589823,0.01169952620058195
Figure S.6,City 3,0.3,0.3,100,0.999714861793652,0.0007487048910630188,0.3176736316880546,0.003888408987497914,0.03345991184201846,0.007351772533798299,19.27,4.668736445763457,180.73,17.36021601248095,4904.72,78.69702408604789,1.0,0.0,0.9970020428996967,0.003883969326287986,0.9617214655401246,0.010212042027711
